ward,percent_voted,number_voted,num_sub
1,24,16962,55
2,30,26784,72
3,33,33544,86
4,38,32223,70
5,28.000000000000004,21807,65
6,25,17124,53
7,22,14616,47
8,32,25082,64
9,31,24869,54
10,24,23293,94
11,32,25690,77
12,34,28153,64
13,28.999999999999996,23073,90
14,36,28406,52
15,33,22522,55
16,31,18785,62
17,27,18700,61
18,28.999999999999996,20438,59
19,36,28315,57
20,32,23967,61
21,26,18867,50
22,26,17469,50
23,25,15388,38
24,27,16999,51
25,27,20048,48
